"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 28 10:44:46 IST 2023","Sat Oct 28 10:44:51 IST 2023","4731","All Test Suite","APIAutomationATB4X","com.thetestingacademy.misc.TestFile","com.thetestingacademy.misc.TestFile","postRequest","postRequest",""
"passed","Sat Oct 28 12:18:53 IST 2023","Sat Oct 28 12:18:56 IST 2023","3100","All Test Suite","APIAutomationATB4X","com.thetestingacademy.crud.TC_CreateBooking","com.thetestingacademy.crud.TC_CreateBooking","testCreateBooking","testCreateBooking","TC#1 - Verify that Create Booking works and ID is generated!"
"passed","Sat Oct 28 12:18:56 IST 2023","Sat Oct 28 12:18:57 IST 2023","1359","All Test Suite","APIAutomationATB4X","com.thetestingacademy.crud.TC_CreateBooking","com.thetestingacademy.crud.TC_CreateBooking","testCreateBooking2_Negative","testCreateBooking2_Negative","TC#2 -  Verify that Create Booking with No payload"
